Species,Trait,GBLUP_median_PA_gain,GBLUP_median_h2_deviation,Genotype_entropy,Genotype_site_entropy,Genotype_envir_entropy,Fst_value
Apple,Color_over,0.0800000000000001,0.0600000000000001,8.92255857829085,11.1858354533701,13.4872789372813,0.052342
Apple,Flowering_begin,0.28,0.05,8.95413100708499,11.3719221361233,13.8740075470518,0.050304
Apple,Flowering_end,0.42,0.27,8.79016443473871,8.79016443473871,10.6534469890732,0.116978
Apple,Flowering_full,0.4,0.27,8.78516617139779,8.78516617139779,9.99933613915523,0.114164
Apple,Flowering_intensity,0.14,0.11,8.95906933613868,11.3632954221446,13.9137711777064,0.056326
Apple,Fruit_number,0.11,0.11,8.92969948999502,11.2600595855674,13.6662279516014,0.058478
Apple,Fruit_weight,0.13,0.16,8.92911516473872,11.285778752073,13.7165121737998,0.049206
Apple,Fruit_weight_single,0.15,0.12,8.92799527078058,11.2562535754089,13.6544364857902,0.057286
Apple,Harvest_date,0.14,0.0499999999999999,8.93005941655238,11.2876522618176,13.7198866510614,0.053084
Apple,Powdery_mildew,0.16,0.23,8.86472256082486,10.2377712744673,11.2784863846658,0.050836
Apple,Russet_freq_all,0.14,0.14,8.91955390600495,10.9408226666165,13.2445287768805,0.057018
Apple,Scab,0.23,0.24,8.90173461400352,9.9701237050798,11.0997405758602,0.102432
Apple,Trunk_diameter,0.16,0.23,8.95853275217566,11.3508103168379,13.9181730874379,0.05396
Apple,Trunk_increment,0.02,0.06,8.9579806897615,11.3102010509116,13.8172380571881,0.054968
Maize,anthesis,0.05,0.0299999999999999,7.93206360002306,11.1177125279163,14.1455407238976,0.0253292682926829
Maize,anthesis.silking.interval,0.29,0.16,7.93150493746455,11.1107999225632,14.1324638008496,0.0265292682926829
Maize,ear.height,0.43,0.09,7.93269572454941,11.1456379438623,14.1801734678212,0.0264756097560976
Maize,grain.number,0.15,0.1,7.93172101346371,11.1409335990193,14.066909929588,0.0247829268292683
Maize,grain.weight,0.07,-0.18,7.93163401141099,11.1411264939346,14.0654804326264,0.0276439024390244
Maize,grain.yield,0.11,0.0399999999999999,7.93288447458172,11.1465565199972,14.1742559627851,0.0247024390243902
Maize,plant.height,0.45,0.34,7.932803651038,11.1455703191783,14.1810279423441,0.0239414634146341
Maize,silking,0.0299999999999999,-0.21,7.93154526015039,11.1108228468679,14.1327850277871,0.0223463414634146
Maize,tassel.height,0.37,0.14,7.93417288782881,11.0130500406211,13.9624831433283,0.0220170731707317
Pine,D,0.58,0.95,7.69527824431267,7.69527824431267,9.99293833616581,0.03511
Pine,H,0.54,0.67,7.69348695749932,7.69348695749932,7.69348695749932,0.019285
Pine,I,0.25,0.73,7.69310862403437,7.69310862403437,10.1535520317081,0.03445
Pine,T4,0.15,0.2,7.70014377485693,7.70014377485693,10.0195907283579,0.034715
Pine,T5,0.12,0.22,7.69979259183516,7.69979259183516,10.0195907283579,0.03763
Pine,T6,0.06,0.2,7.69540708972867,7.69540708972867,9.99435343685886,0.035
Rice,FL,0.33,0.34,8.36523960086478,9.36500561650877,11.8036675299901,0.00952222222222222
Rice,PH,0.22,0.1,8.36533446459072,9.36510945491838,11.8048598228595,0.00948888888888889
Rice,YLD,0.13,0.09,8.36524067024404,9.36450011984232,11.7945158529958,0.0095
Rice,ZN,0.33,0.29,8.36575639343844,9.36543185177787,11.801593289926,0.00955555555555556
Apple,Color_over,0.0800000000000001,0.0600000000000001,8.92255857829085,11.1858354533701,13.4872789372813,0.052342
Apple,Flowering_begin,0.28,0.05,8.95413100708499,11.3719221361233,13.8740075470518,0.050304
Apple,Flowering_end,0.42,0.27,8.79016443473871,8.79016443473871,10.6534469890732,0.116978
Apple,Flowering_full,0.38,0.25,8.78516617139779,8.78516617139779,9.99933613915523,0.114164
Apple,Flowering_intensity,0.14,0.1,8.95906933613868,11.3632954221446,13.9137711777064,0.056326
Apple,Fruit_number,0.11,0.11,8.92969948999502,11.2600595855674,13.6662279516014,0.058478
Apple,Fruit_weight,0.13,0.16,8.92911516473872,11.285778752073,13.7165121737998,0.049206
Apple,Fruit_weight_single,0.15,0.12,8.92799527078058,11.2562535754089,13.6544364857902,0.057286
Apple,Harvest_date,0.14,0.0499999999999999,8.93005941655238,11.2876522618176,13.7198866510614,0.053084
Apple,Powdery_mildew,0.16,0.22,8.86472256082486,10.2377712744673,11.2784863846658,0.050836
