Species,Trait,GBLUP_median_PA_wiser,GBLUP_median_PA_ls_means,GBLUP_median_PA_blups
Rice,FL,0.74 (0.05),0.41 (0.12),0.29 (0.15)
Rice,PH,0.73 (0.08),0.51 (0.09),0.46 (0.10)
Rice,YLD,0.62 (0.08),0.49 (0.11),0.42 (0.10)
Rice,ZN,0.69 (0.05),0.36 (0.16),0.32 (0.16)
Maize,anthesis,0.74 (0.07),0.69 (0.07),0.57 (0.10)
Maize,anthesis.silking.interval,0.66 (0.07),0.37 (0.18),0.22 (0.18)
Maize,ear.height,0.67 (0.07),0.24 (0.15),0.24 (0.13)
Maize,grain.number,0.68 (0.09),0.53 (0.14),0.34 (0.16)
Maize,grain.weight,0.61 (0.10),0.54 (0.13),0.22 (0.16)
Maize,grain.yield,0.77 (0.08),0.66 (0.10),0.48 (0.14)
Maize,plant.height,0.67 (0.08),0.22 (0.15),0.22 (0.14)
Maize,silking,0.70 (0.08),0.67 (0.06),0.55 (0.08)
Maize,tassel.height,0.67 (0.07),0.30 (0.14),0.18 (0.15)
Apple,Color_over,0.78 (0.05),0.70 (0.05),0.56 (0.09)
Apple,Flowering_begin,0.92 (0.02),0.64 (0.09),0.55 (0.09)
Apple,Flowering_end,0.84 (0.04),0.44 (0.10),0.41 (0.10)
Apple,Flowering_full,0.80 (0.04),0.40 (0.10),0.38 (0.10)
Apple,Flowering_intensity,0.66 (0.09),0.52 (0.09),0.32 (0.11)
Apple,Fruit_number,0.78 (0.04),0.67 (0.06),0.36 (0.10)
Apple,Fruit_weight,0.78 (0.04),0.65 (0.06),0.38 (0.10)
Apple,Fruit_weight_single,0.73 (0.05),0.58 (0.07),0.54 (0.09)
Apple,Harvest_date,0.92 (0.02),0.76 (0.06),0.59 (0.07)
Apple,Powdery_mildew,0.56 (0.08),0.40 (0.10),0.39 (0.10)
Apple,Russet_freq_all,0.60 (0.07),0.46 (0.09),0.36 (0.10)
Apple,Scab,0.56 (0.09),0.33 (0.10),0.33 (0.10)
Apple,Trunk_diameter,0.66 (0.06),0.50 (0.06),0.36 (0.10)
Apple,Trunk_increment,0.51 (0.07),0.49 (0.06),0.35 (0.10)
Pine,D,0.66 (0.10),0.08 (0.19),0.11 (0.19)
Pine,H,0.72 (0.08),0.18 (0.17),0.19 (0.15)
Pine,I,0.35 (0.25),0.10 (0.21),0.20 (0.20)
Pine,T4,0.34 (0.15),0.24 (0.18),0.33 (0.21)
Pine,T5,0.24 (0.27),0.14 (0.22),0.18 (0.27)
Pine,T6,0.20 (0.27),0.14 (0.24),0.11 (0.28)
