Species,Trait,GBLUP_median_PA_wiser,GBLUP_median_PA_ls_means,GBLUP_median_PA_blups,GBLUP_median_PA_blups_pca,GBLUP_median_h2_wiser,GBLUP_median_h2_ls_means,GBLUP_median_h2_blups,GBLUP_median_h2_blups_pca,Genotype_entropy,Genotype_site_entropy,Genotype_envir_entropy,Number_of_clusters,CH_value,Fst_value
Apple,Color_over,0.78 (0.05),0.70 (0.05),0.70 (0.05),0.48 (0.07),0.90 (0.03),0.84 (0.03),0.84 (0.03),0.76 (0.05),8.92255857829085,11.1858354533701,13.4872789372813,30,33499.1618901411,0.052342
Apple,Flowering_begin,0.92 (0.02),0.64 (0.09),0.64 (0.09),0.55 (0.09),0.99 (0.00),0.94 (0.02),0.94 (0.02),0.93 (0.03),8.95413100708499,11.3719221361233,13.8740075470518,30,35323.3117504304,0.050304
Apple,Flowering_end,0.86 (0.05),0.44 (0.10),0.44 (0.10),0.36 (0.10),1.00 (0.00),0.73 (0.03),0.73 (0.03),0.69 (0.04),8.79016443473871,8.79016443473871,10.6534469890732,30,27713.3267704675,0.116978
Apple,Flowering_full,0.80 (0.04),0.40 (0.10),0.42 (0.09),0.33 (0.09),0.94 (0.02),0.67 (0.06),0.69 (0.05),0.64 (0.05),8.78516617139779,8.78516617139779,9.99933613915523,30,18771.9124535055,0.114164
Apple,Flowering_intensity,0.66 (0.09),0.52 (0.09),0.52 (0.09),0.32 (0.11),0.77 (0.03),0.66 (0.04),0.67 (0.04),0.56 (0.07),8.95906933613868,11.3632954221446,13.9137711777064,30,33314.676611048,0.056326
Apple,Fruit_number,0.78 (0.04),0.67 (0.06),0.67 (0.06),0.34 (0.10),0.76 (0.03),0.65 (0.04),0.65 (0.04),0.42 (0.08),8.92969948999502,11.2600595855674,13.6662279516014,30,36838.9178387071,0.058478
Apple,Fruit_weight,0.78 (0.04),0.65 (0.06),0.65 (0.05),0.30 (0.10),0.75 (0.03),0.59 (0.03),0.59 (0.04),0.35 (0.08),8.92911516473872,11.285778752073,13.7165121737998,28,31207.4164965317,0.049206
Apple,Fruit_weight_single,0.73 (0.05),0.58 (0.07),0.58 (0.07),0.52 (0.09),0.93 (0.02),0.81 (0.04),0.81 (0.04),0.79 (0.04),8.92799527078058,11.2562535754089,13.6544364857902,30,34052.6974287989,0.057286
Apple,Harvest_date,0.90 (0.03),0.76 (0.06),0.76 (0.06),0.59 (0.07),0.97 (0.01),0.92 (0.02),0.92 (0.02),0.88 (0.02),8.93005941655238,11.2876522618176,13.7198866510614,30,36089.1568849804,0.053084
Apple,Powdery_mildew,0.56 (0.08),0.40 (0.10),0.40 (0.10),0.28 (0.10),0.74 (0.04),0.51 (0.05),0.52 (0.05),0.36 (0.09),8.86472256082486,10.2377712744673,11.2784863846658,30,32748.5882912205,0.050836
